"Command","Description"
"addmod","Add a moderator role"
"addrole","Add a new role, with optional color and hoist"
"delmod","Remove a moderator role"
"delrole","Delete a role"
"modules","List available modules"
"listmods","List moderators"
"nick","Change the bot nickname"
"rolecolor","Change the color of a role"
"rolename","Change the name of a role"
"purge","Delete a number of messages from a channel"
"announce","Send an announcement using the bot"
"command","Enable/disable a command"
"ignorechannel","Toggle command usage in a channel"
"prefix","Get or set the command prefix"
"setnick","Change the nickname of a user"
"ignoreuser","Toggle command usage for a user"
"clearwarn","Clear warnings for a user"
"mentionable","Toggle making a role mentionable on/off"
"role","Add/remove a user to a role or roles"
"module","Enable/disable a module"
"ignorerole","Toggle command usage for a role"
"customs","List, enable, disable custom commands"
"giveaway","Create and manage giveaways"
"addemote","Add an emote to the server"
