"Command","Description"
"clean","Clean up Dyno's responses"
"deafen","Deafen a member"
"kick","Kick a member"
"members","List members in a role(s) (max 90)"
"mute","Mute a member so they cannot type"
"diagnose","Diagnose any command or module for problems"
"rolepersist","Assign/unassign a role that persists if user leaves/rejoins"
"softban","Ban and immediate unban to delete user messages"
"undeafen","Undeafen a member"
"modlogs","Get a list of moderation logs for a user"
"warn","Warn a member"
"warnings","Get warnings for a user"
"unban","Unban a member"
"ban","Ban a member (optional time limit)"
"ignored","List ignored users, roles, and channels"
"reason","Supply a reason for a mod log case"
"unmute","Unmute a member"
"lock","Lock a channel with optional timer"
"unlock","Unlock a previously locked channel"
"moderations","Get a list of active timed moderations"
"case","Show a single mod log case"
"delnote","Delete a note about a member"
"temprole","Assign/unassign a temporary role"
"note","Add note(s) about a member"
"notes","Get notes for a user"
"delwarn","Delete a warning"
"clearnotes","Delete all notes for a member"
"editnote","Edit a note about a member"
"modstats","Get moderation statistics for a mod/admin"
"duration","Change the duration of a mute/ban"
"lockdown","Lock channels defined in moderation settings"
"star","View starboard stats for a message"
